trading_day,ma20_tv,ema20_tv,macd_tv.dif,macd_tv.dea,macd_tv.hist,kdj_tv.k,kdj_tv.d,kdj_tv.j,rsi14_tv,cci20_tv,boll20_tv.mid,boll20_tv.up,boll20_tv.dn,ma20_cn,ema20_cn,macd_cn.dif,macd_cn.dea,macd_cn.hist,kdj_cn.k,kdj_cn.d,kdj_cn.j,rsi14_cn,cci20_cn,boll20_cn.mid,boll20_cn.up,boll20_cn.dn
20240116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3818,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20240117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3816.47619048,-1.27635327635,-0.255270655271,-2.04216524217,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
20240118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3818.24036281,0.370678809425,-0.130080762331,1.00151914351,NaN,NaN,NaN,13.6929460581,NaN,NaN,NaN,NaN
20240119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3820.88413778,2.5343571808,0.402806826294,4.26310070901,NaN,NaN,NaN,17.7365378765,NaN,NaN,NaN,NaN
20240122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3820.4189818,1.80750283152,0.68374602734,2.24751360836,NaN,NaN,NaN,15.5911213511,NaN,NaN,NaN,NaN
20240123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3823.04574544,3.77013828059,1.30102447799,4.9382276052,NaN,NaN,NaN,25.8888143261,NaN,NaN,NaN,NaN
20240124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3828.75567445,8.05687387994,2.65219435838,10.8093590431,NaN,NaN,NaN,35.2004607281,NaN,NaN,NaN,NaN
20240125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3835.35037212,12.5201923822,4.62579396315,15.7887968381,NaN,NaN,NaN,38.7522002223,NaN,NaN,NaN,NaN
20240126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3841.50747954,16.0339582472,6.90742681995,18.2530628544,92.4369747899,92.4369747899,92.4369747899,39.2304760596,NaN,NaN,NaN,NaN
20240129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3847.17343387,18.68395762,9.26273297997,18.8424492801,91.9525187124,92.2754894307,91.3065772757,39.4849282471,NaN,NaN,NaN,NaN
20240130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3847.91882112,16.8777296914,10.7857323223,12.1839947383,79.0612419831,87.8707402815,61.4422453863,32.7017417943,NaN,NaN,NaN,NaN
